Index,App name,Source file,Buggy method,Fixing version,Anti-pattern,Issue report/pull request,Issue site
45,Muzei,WearableController.java,updateArtwork,2e6101c,Image decoding without resizing,Pull-241,https://github.com/romannurik/muzei/pull/241
46,Muzei,NewWallpaperNotificationReceiver.java,maybeShowNewArtworkNotification,2e6101c,Image decoding without resizing,Pull-241,https://github.com/romannurik/muzei/pull/241
47,Muzei,MuzeiProvider.java,openFileArtwork,f731519,Unbounded image caching,Issue-383;Pull-384,https://github.com/romannurik/muzei/issues/383
48,Muzei,AppWidgetUpdateTask.java,doInBackground,6c329c9,,Pull-349,https://github.com/romannurik/muzei/pull/349
49,Collect,DrawActivity.java,resetImage,5823bfc,,Issue-121;Pull-278,https://github.com/opendatakit/collect/issues/121
50,Collect,FileUtils.java,getBitmapScaledToDisplay,e5a6fed,,Issue-1237;Pull-1238,https://github.com/opendatakit/collect/issues/1237
51,Collect,FileUtils.java,getBitmapAccuratelyScaledToDisplay,e5a6fed,,Issue-1237;Pull-1238,https://github.com/opendatakit/collect/issues/1237
52,Collect,FormEntryActivity.java,scaleDownImage,e5a6fed,,Issue-1237;Pull-1238,https://github.com/opendatakit/collect/issues/1237
53,Collect,FileUtils.java,getBitmapAccuratelyScaledToDisplay,1bde31e,,Issue-42;pull-1210,https://github.com/opendatakit/collect/issues/42
54,Collect,FileUtils.java,getBitmapScaledToDisplay,1bde31e,,Issue-42;pull-1210,https://github.com/opendatakit/collect/issues/42
55,Collect,FormEntryActivity.java,saveChosenImage,1bde31e,Image decoding without resizing,Issue-42;pull-1210,https://github.com/opendatakit/collect/issues/42
56,Collect,FormEntryActivity.java,onActivityResult,1bde31e,Image decoding without resizing,Issue-42;pull-1210,https://github.com/opendatakit/collect/issues/42
57,Tusky,DownsizeImageTask.java,reorientBitmap,f7915d6,,Issue-247,https://github.com/Vavassor/Tusky/issues/247
58,Kontalk,Preferences.java,cacheConversationBackground,1d40794,Image decoding without resizing,Issue-269,https://github.com/kontalk/androidclient/issues/269
59,Kontalk,MediaStorage.java,preloadBitmap;processOptions,1d40794,,Issue-269,https://github.com/kontalk/androidclient/issues/269
60,Kontalk,MediaStorage.java,resizeImage,b5a30bb,Image decoding without resizing,Issue-234,https://github.com/kontalk/androidclient/issues/234
61,Kontalk,ImageComponent.java,populateFromCursor; loadPreview; bitmapOptions,37efd05,Image decoding in UI event handlers,Issue-789,https://github.com/kontalk/androidclient/issues/789
62,Subsonic,DSubWidgetProvider.java,performUpdate,2ec44b3,Loop-based redundant image decoding,Issue-299,https://github.com/daneren2005/Subsonic/issues/299
63,Slideshow,ImageActivity.java,loadImage,85852ad,Image decoding without resizing,Issue-18,https://github.com/ScreamingHawk/android-slideshow/issues/18
64,Twidere,TwidereApplication.java,createDiskCache,ca477ad,,Issue-184,https://github.com/TwidereProject/Twidere-Android/issues/184
65,OneBusAway,Open311ProblemFragment.java,onActivityResult,d5e728b,Image decoding without resizing,Issue-730;Pull-732,https://github.com/OneBusAway/onebusaway-android/issues/730
66,OneBusAway,Open311ProblemFragment.java,onActivityResult,d5e728b,Image decoding without resizing,Pssue--730;Pull-732,https://github.com/OneBusAway/onebusaway-android/pull/732
67,OneBusAway,Open311ProblemFragment.java,submitReport,d5e728b,Image decoding without resizing,Pssue--730;Pull-732,https://github.com/OneBusAway/onebusaway-android/pull/732
68,MTG Familiar,CardViewFragment.java,doInBackground,d128008,,Issue-29,https://github.com/AEFeinstein/mtg-familiar/issues/29
69,MTG Familiar,CardViewFragment.java,doInBackground；setInfoFromID,aa8198d,,Issue-129,https://github.com/AEFeinstein/mtg-familiar/issues/129
70,Akvo-rsr-up,UpdateEditorActivity.java,onActivityResult,700670e,Image decoding without resizing,Issue-64,https://github.com/akvo/akvo-rsr-up/issues/64
71,Akvo-rsr-up,UpdateEditorActivity.java,onActivityResult,700670e,Image decoding without resizing,Issue-64,https://github.com/akvo/akvo-rsr-up/issues/64
72,AntennaPod,AudioplayerActivity.java,loadMediaInfo,b332942,Loop-based redundant image decoding,Pull-1071,https://github.com/AntennaPod/AntennaPod/pull/1071
73,AntennaPod,DefaultOnlineFeedViewActivity.java,showFeedInformation,b332942,Loop-based redundant image decoding,Pull-1071,https://github.com/AntennaPod/AntennaPod/pull/1071
74,AntennaPod,DefaultOnlineFeedViewActivity.java,onCreate,b332942,Loop-based redundant image decoding,Pull-1071,https://github.com/AntennaPod/AntennaPod/pull/1071
75,AntennaPod,AllEpisodesListAdapter.java,getView,b332942,Loop-based redundant image decoding,Pull-1071,https://github.com/AntennaPod/AntennaPod/pull/1071
76,AntennaPod,AllEpisodesListAdapter.java,onLoadFailed,b332942,Loop-based redundant image decoding,Pull-1071,https://github.com/AntennaPod/AntennaPod/pull/1071
77,AntennaPod,DownloadedEpisodesListAdapter.java,getView,b332942,Loop-based redundant image decoding,Pull-1071,https://github.com/AntennaPod/AntennaPod/pull/1071
78,AntennaPod,NavListAdapter.java,getView,b332942,Loop-based redundant image decoding,Pull-1071,https://github.com/AntennaPod/AntennaPod/pull/1071
79,AntennaPod,QueueListAdapter.java,getView,b332942,Loop-based redundant image decoding,Pull-1071,https://github.com/AntennaPod/AntennaPod/pull/1071
80,AntennaPod,QueueListAdapter.java,onLoadFailed,b332942,Loop-based redundant image decoding,Pull-1071,https://github.com/AntennaPod/AntennaPod/pull/1071
81,AntennaPod,SearchlistAdapter.java,getView,b332942,Loop-based redundant image decoding,Pull-1071,https://github.com/AntennaPod/AntennaPod/pull/1071
82,AntennaPod,SearchlistAdapter.java,getView,b332942,Loop-based redundant image decoding,Pull-1071,https://github.com/AntennaPod/AntennaPod/pull/1071
83,AntennaPod,PodcastListAdapter.java,getView,b332942,Loop-based redundant image decoding,Pull-1071,https://github.com/AntennaPod/AntennaPod/pull/1071
84,AntennaPod,CoverFragment.java,loadMediaInfo,b332942,Loop-based redundant image decoding,Pull-1071,https://github.com/AntennaPod/AntennaPod/pull/1071
85,AntennaPod,ExternalPlayerFragment.java,loadMediaInfo,b332942,Loop-based redundant image decoding,Pull-1071,https://github.com/AntennaPod/AntennaPod/pull/1071
86,AntennaPod,ItemFragment.java,updateAppearance,b332942,Loop-based redundant image decoding,Pull-1071,https://github.com/AntennaPod/AntennaPod/pull/1071
87,AntennaPod,ItemlistFragment.java,setupHeaderView,b332942,Loop-based redundant image decoding,Pull-1071,https://github.com/AntennaPod/AntennaPod/pull/1071
88,AntennaPod,ItemlistFragment.java,setupHeaderView,b332942,Loop-based redundant image decoding,Pull-1071,https://github.com/AntennaPod/AntennaPod/pull/1071
89,AntennaPod,PlaybackService.java,setupNotification,b332942,Loop-based redundant image decoding,Pull-1071,https://github.com/AntennaPod/AntennaPod/pull/1071
